Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
35.65,44.73,45.35,0.00,0,1,42.37%,06/22/22,336.00,0.04,0.03,0.04,-0.12,"3,089","2,774",36.89%,07/01/22
0.00,43.85,44.33,0.00,0,0,40.41%,N/A,337.00,0.03,0.04,0.05,-0.13,101,78,36.63%,07/01/22
0.00,42.86,43.33,0.00,0,0,39.56%,N/A,338.00,0.04,0.04,0.05,-0.12,106,"1,009",35.35%,07/01/22
37.84,41.74,42.36,-5.01,4,4,40.23%,07/01/22,339.00,0.05,0.04,0.05,-0.14,54,"1,116",35.51%,07/01/22
35.95,40.74,41.36,-0.63,2,35,39.35%,07/01/22,340.00,0.05,0.04,0.05,-0.12,"1,612","29,256",34.72%,07/01/22
0.00,39.87,40.34,0.00,0,0,37.52%,N/A,341.00,0.05,0.04,0.05,-0.15,35,342,33.94%,07/01/22
33.94,38.77,39.37,0.00,0,2,38.03%,06/21/22,342.00,0.05,0.04,0.05,-0.17,103,"2,033",33.15%,07/01/22
0.00,37.88,38.34,0.00,0,0,35.80%,N/A,343.00,0.05,0.05,0.06,-0.17,283,737,32.36%,07/01/22
43.54,36.77,37.38,0.00,0,6,36.66%,06/24/22,344.00,0.05,0.05,0.06,-0.18,"6,398","2,298",31.57%,07/01/22
30.53,35.78,36.38,-5.82,10,20,35.77%,07/01/22,345.00,0.06,0.05,0.06,-0.21,587,"22,914",31.51%,07/01/22
29.73,34.78,35.38,0.00,0,12,34.88%,06/30/22,346.00,0.07,0.06,0.07,-0.26,"6,252","4,515",31.35%,07/01/22
0.00,33.89,34.36,0.00,0,0,33.22%,N/A,347.00,0.07,0.06,0.07,-0.23,628,"1,776",30.54%,07/01/22
26.30,32.78,33.39,-1.40,1,1,33.45%,07/01/22,348.00,0.07,0.06,0.07,-0.25,"1,001","2,734",29.72%,07/01/22
28.21,31.78,32.41,0.16,9,1,33.21%,07/01/22,349.00,0.07,0.07,0.08,-0.28,702,564,28.91%,07/01/22
30.89,30.91,31.37,2.26,181,246,30.96%,07/01/22,350.00,0.08,0.07,0.08,-0.31,"32,385","19,247",28.62%,07/01/22
29.30,29.81,30.41,0.00,0,1,31.39%,06/30/22,351.00,0.08,0.08,0.09,-0.37,"1,613","1,315",27.80%,07/01/22
24.00,28.80,29.42,-2.32,1,6,30.76%,07/01/22,352.00,0.09,0.09,0.10,-0.40,"5,846","4,324",27.43%,07/01/22
27.40,27.81,28.42,-10.16,1,1,29.84%,07/01/22,353.00,0.12,0.10,0.11,-0.41,"2,077","1,474",27.22%,07/01/22
20.03,26.84,27.43,0.00,0,16,29.19%,06/30/22,354.00,0.12,0.12,0.13,-0.40,"3,078","1,400",26.92%,07/01/22
26.06,25.84,26.45,0.56,4,14,28.77%,07/01/22,355.00,0.14,0.13,0.14,-0.51,"4,845","22,974",26.71%,07/01/22
21.23,24.86,25.46,2.77,4,1,28.06%,07/01/22,356.00,0.16,0.15,0.16,-0.52,"7,340","3,546",26.41%,07/01/22
23.48,23.89,24.48,0.00,0,3,27.55%,06/22/22,357.00,0.17,0.17,0.18,-0.63,"8,088","2,030",25.78%,07/01/22
18.50,22.91,23.50,0.00,0,21,27.00%,06/30/22,358.00,0.20,0.19,0.20,-0.73,"4,459","1,977",25.61%,07/01/22
22.46,21.94,22.53,6.07,8,2,25.21%,07/01/22,359.00,0.24,0.22,0.23,-0.75,"9,064","1,965",25.23%,07/01/22
21.20,20.99,21.56,1.65,312,524,26.14%,07/01/22,360.00,0.27,0.26,0.27,-0.91,"21,538","20,795",25.17%,07/01/22
15.72,20.05,20.60,-4.44,24,419,19.77%,07/01/22,361.00,0.30,0.30,0.31,-0.93,"8,172","7,405",24.72%,07/01/22
18.85,19.11,19.66,2.15,8,732,20.66%,07/01/22,362.00,0.36,0.36,0.37,-1.07,"7,485","4,695",24.69%,07/01/22
17.91,18.19,18.72,2.00,7,308,21.26%,07/01/22,363.00,0.43,0.42,0.43,-1.19,"7,440","2,187",24.65%,07/01/22
17.71,17.27,17.79,3.88,67,724,24.15%,07/01/22,364.00,0.50,0.50,0.51,-1.21,"7,419","3,834",24.48%,07/01/22
16.64,16.38,16.87,3.71,351,912,22.16%,07/01/22,365.00,0.59,0.58,0.60,-1.38,"24,505","28,727",24.42%,07/01/22
14.80,15.57,15.86,2.67,51,465,22.01%,07/01/22,366.00,0.69,0.69,0.70,-1.49,"7,875","4,552",24.33%,07/01/22
13.98,14.69,14.98,1.09,7,654,22.22%,07/01/22,367.00,0.81,0.80,0.82,-1.48,"6,770","2,268",24.29%,07/01/22
13.73,13.83,14.11,1.44,238,828,22.36%,07/01/22,368.00,0.96,0.94,0.95,-1.60,"7,264","2,729",24.23%,07/01/22
13.29,12.99,13.26,3.29,225,748,22.49%,07/01/22,369.00,1.10,1.09,1.10,-1.69,"5,559","4,664",24.20%,07/01/22
12.27,12.09,12.42,2.52,908,"1,260",22.36%,07/01/22,370.00,1.26,1.26,1.27,-1.94,"33,071","20,224",24.06%,07/01/22
10.51,11.36,11.61,1.49,203,561,22.59%,07/01/22,371.00,1.46,1.45,1.46,-1.95,"5,876","7,691",24.06%,07/01/22
10.73,10.57,10.81,2.48,716,652,22.83%,07/01/22,372.00,1.66,1.66,1.67,-2.14,"6,241","2,378",23.91%,07/01/22
9.86,9.81,9.99,2.01,940,"11,210",22.17%,07/01/22,373.00,1.90,1.89,1.91,-2.25,"6,427","2,048",23.87%,07/01/22
9.27,9.07,9.23,1.90,"1,437","1,362",22.36%,07/01/22,374.00,2.15,2.14,2.16,-2.37,"10,062","2,220",23.74%,07/01/22
8.48,8.35,8.50,1.90,"13,708","1,463",22.60%,07/01/22,375.00,2.44,2.42,2.44,-2.33,"24,289","9,020",23.69%,07/01/22
7.79,7.66,7.79,1.69,"7,744","1,449",22.54%,07/01/22,376.00,2.73,2.72,2.74,-2.54,"11,396","2,848",23.49%,07/01/22
7.11,7.00,7.14,1.73,"10,643","1,393",22.39%,07/01/22,377.00,3.07,3.05,3.07,-2.80,"10,374","2,370",23.41%,07/01/22
6.53,6.38,6.49,1.70,"9,465","3,349",22.11%,07/01/22,378.00,3.42,3.41,3.43,-2.84,"7,205","3,324",23.23%,07/01/22
5.79,5.79,5.84,1.29,"8,343","1,630",21.83%,07/01/22,379.00,3.78,3.79,3.82,-2.98,"5,554","2,592",23.07%,07/01/22
5.25,5.22,5.25,1.35,"39,236","4,650",21.90%,07/01/22,380.00,4.22,4.21,4.24,-3.00,"13,179","8,130",22.90%,07/01/22
4.67,4.67,4.69,1.22,"6,358","3,811",21.61%,07/01/22,381.00,4.66,4.66,4.69,-3.34,"2,189","1,644",22.71%,07/01/22
4.16,4.15,4.18,1.07,"6,786","3,286",21.49%,07/01/22,382.00,5.13,5.14,5.17,-3.31,"1,607",898,22.61%,07/01/22
3.92,3.91,3.93,1.03,"2,872",789,21.44%,07/01/22,382.50,5.23,5.39,5.44,-4.09,590,348,22.57%,07/01/22
3.67,3.67,3.69,0.95,"6,352","2,506",21.30%,07/01/22,383.00,5.66,5.65,5.70,-3.74,604,"1,411",22.41%,07/01/22
3.25,3.22,3.24,0.84,"9,237","1,985",21.17%,07/01/22,384.00,6.21,6.20,6.25,-3.65,425,"1,282",22.25%,07/01/22
2.80,2.81,2.82,0.71,"16,976","4,959",21.00%,07/01/22,385.00,6.80,6.75,6.87,-3.57,992,"4,924",22.13%,07/01/22
2.41,2.42,2.44,0.58,"5,586","1,893",20.80%,07/01/22,386.00,7.31,7.34,7.51,-4.01,172,852,22.02%,07/01/22
2.09,2.07,2.08,0.52,"8,169","1,575",20.57%,07/01/22,387.00,7.77,7.98,8.17,-4.21,205,"1,161",21.87%,07/01/22
1.92,1.91,1.92,0.44,"3,467",927,20.50%,07/01/22,387.50,9.20,8.31,8.51,-3.23,3,689,21.78%,07/01/22
1.77,1.76,1.77,0.42,"6,889","1,616",20.42%,07/01/22,388.00,8.69,8.54,8.86,-3.97,128,860,21.34%,07/01/22
1.49,1.48,1.49,0.31,"7,140","1,578",20.22%,07/01/22,389.00,9.55,9.33,9.59,-4.04,63,791,22.03%,07/01/22
1.24,1.23,1.24,0.24,"18,688","5,739",20.01%,07/01/22,390.00,10.18,10.07,10.35,-3.97,329,"2,335",21.19%,07/01/22
1.00,1.01,1.02,0.15,"5,021","1,662",19.76%,07/01/22,391.00,10.99,10.84,11.15,-4.03,27,512,21.28%,07/01/22
0.83,0.82,0.83,0.11,"4,955","2,675",19.58%,07/01/22,392.00,11.37,11.64,11.97,-4.28,43,460,21.24%,07/01/22
0.76,0.74,0.75,0.09,"2,614",963,19.47%,07/01/22,392.50,13.72,12.05,12.40,-0.02,2,357,21.25%,07/01/22
0.67,0.67,0.68,0.06,"2,599","3,580",19.39%,07/01/22,393.00,12.59,12.47,12.83,-1.41,248,"2,493",20.78%,07/01/22
0.54,0.53,0.54,0.00,"5,047","1,564",19.26%,07/01/22,394.00,15.69,13.32,13.71,-1.65,14,296,21.29%,07/01/22
0.44,0.42,0.44,-0.01,"8,087","7,966",19.23%,07/01/22,395.00,14.39,14.21,14.62,-4.51,202,"1,708",21.25%,07/01/22
0.35,0.34,0.35,-0.01,"3,540","4,913",19.13%,07/01/22,396.00,15.47,15.10,15.55,-3.06,48,590,23.09%,07/01/22
0.27,0.27,0.28,-0.09,689,"7,715",18.94%,07/01/22,397.00,16.70,16.02,16.49,-3.66,5,747,21.92%,07/01/22
0.24,0.23,0.25,-0.04,892,971,18.91%,07/01/22,397.50,16.48,16.45,17.02,2.18,2,623,18.64%,07/01/22
0.21,0.21,0.22,-0.07,546,"2,319",18.83%,07/01/22,398.00,18.14,16.92,17.50,-1.48,25,430,22.38%,07/01/22
0.17,0.16,0.17,-0.07,733,"1,471",18.91%,07/01/22,399.00,18.13,17.87,18.46,-4.14,5,436,22.30%,07/01/22
0.14,0.13,0.14,-0.05,"10,431","12,509",19.06%,07/01/22,400.00,19.14,18.91,19.35,-4.36,"3,487","1,135",23.38%,07/01/22
0.11,0.10,0.11,-0.04,956,"2,781",19.06%,07/01/22,401.00,19.79,19.86,20.35,-4.00,1,"1,207",23.80%,07/01/22
0.08,0.08,0.09,-0.10,689,"2,045",18.85%,07/01/22,402.00,21.35,20.79,21.39,-4.09,2,285,27.97%,07/01/22
0.07,0.07,0.08,-0.06,138,"1,487",18.84%,07/01/22,402.50,21.26,21.28,21.87,0.00,0,309,24.68%,06/29/22
0.06,0.06,0.07,-0.11,675,"1,336",18.78%,07/01/22,403.00,26.47,21.77,22.38,-0.27,4,486,25.12%,07/01/22
0.05,0.05,0.06,-0.05,397,"1,909",19.00%,07/01/22,404.00,24.57,22.76,23.37,-5.61,2,261,25.83%,07/01/22
0.04,0.04,0.05,-0.05,"3,425","9,371",19.11%,07/01/22,405.00,24.02,23.81,24.27,-3.18,42,731,25.87%,07/01/22
0.03,0.03,0.04,-0.08,322,"1,384",19.08%,07/01/22,406.00,27.79,24.80,25.26,-3.12,5,590,26.91%,07/01/22
0.03,0.03,0.04,-0.04,225,"2,003",19.73%,07/01/22,407.00,26.95,25.75,26.35,0.00,0,300,28.13%,06/29/22
0.02,0.02,0.03,-0.04,18,"3,852",19.12%,07/01/22,407.50,27.68,26.24,26.85,3.95,1,373,28.46%,07/01/22
0.03,0.02,0.03,-0.04,144,"6,240",20.38%,07/01/22,408.00,28.45,26.74,27.35,1.11,3,233,28.88%,07/01/22
0.03,0.02,0.03,-0.02,92,"3,459",21.02%,07/01/22,409.00,33.26,27.74,28.36,3.25,7,146,29.81%,07/01/22
0.02,0.02,0.03,-0.02,768,"5,019",20.67%,07/01/22,410.00,32.60,28.81,29.26,-1.68,4,974,30.33%,07/01/22
0.02,0.02,0.03,-0.02,327,"1,913",21.28%,07/01/22,411.00,30.89,29.74,30.37,0.00,0,387,31.56%,06/30/22
0.02,0.01,0.02,-0.02,359,"36,978",21.88%,07/01/22,412.00,31.10,30.74,31.35,10.84,1,396,33.27%,07/01/22
0.02,0.01,0.02,-0.03,69,635,22.49%,07/01/22,413.00,32.00,31.74,32.35,-8.00,2,296,31.98%,07/01/22
0.01,0.01,0.02,-0.03,35,"1,219",21.49%,07/01/22,414.00,37.40,32.74,33.35,0.00,0,168,33.79%,06/30/22
0.02,0.01,0.02,-0.01,79,"2,302",23.69%,07/01/22,415.00,33.99,33.74,34.35,-4.01,9,219,33.31%,07/01/22
0.02,0.01,0.02,0.00,6,"2,280",24.28%,07/01/22,416.00,39.91,34.73,35.37,0.00,0,130,35.50%,06/30/22
0.01,0.01,0.02,-0.01,31,805,23.18%,07/01/22,417.00,30.48,35.74,36.35,0.00,0,1,36.17%,06/24/22
0.02,0.01,0.02,0.01,85,473,25.46%,07/01/22,418.00,50.60,36.81,37.37,0.00,0,0,37.95%,06/17/22
0.01,0.00,0.01,-0.01,340,"2,610",24.29%,07/01/22,419.00,37.49,37.74,38.37,0.00,0,197,37.97%,06/29/22
0.01,0.00,0.01,-0.01,50,"2,212",24.84%,07/01/22,420.00,39.01,38.74,39.37,-0.15,3,297,37.66%,07/01/22
0.01,0.00,0.01,0.00,4,580,25.38%,07/01/22,421.00,42.95,39.73,40.37,-1.75,16,1,39.41%,07/01/22
0.01,0.00,0.01,0.00,10,420,25.93%,07/01/22,422.00,35.68,40.81,41.35,0.00,0,0,40.87%,06/24/22
0.01,0.00,0.01,0.00,150,"1,252",26.47%,07/01/22,423.00,44.04,41.73,42.37,7.67,1,1,40.94%,07/01/22
0.01,0.00,0.01,0.00,158,412,27.02%,07/01/22,424.00,43.25,42.74,43.37,5.93,20,1,45.89%,07/01/22
0.01,0.00,0.01,0.00,51,"1,732",27.55%,07/01/22,425.00,43.35,43.74,44.35,0.00,0,13,42.33%,06/29/22
0.01,0.00,0.01,0.00,501,511,28.09%,07/01/22,426.00,50.54,44.81,45.37,0.00,0,0,44.18%,06/21/22
0.01,0.00,0.01,0.00,21,620,28.63%,07/01/22,427.00,60.00,45.81,46.35,0.00,0,0,44.70%,06/17/22
0.01,0.00,0.01,0.00,0,897,29.16%,06/30/22,428.00,35.41,46.74,47.35,0.00,0,1,44.57%,06/28/22
0.01,0.00,0.01,0.00,71,585,29.69%,07/01/22,429.00,48.78,47.81,48.37,0.00,0,0,46.45%,06/29/22
0.01,0.00,0.01,0.00,90,"1,564",30.21%,07/01/22,430.00,41.51,48.81,49.35,0.00,0,0,46.95%,06/27/22
0.01,0.00,0.01,-0.02,41,331,30.74%,07/01/22,431.00,55.01,49.74,50.35,0.00,0,13,46.78%,06/21/22
0.01,0.00,0.01,-0.04,1,221,31.26%,07/01/22,432.00,55.79,50.74,51.37,0.00,0,1,47.78%,06/13/22
0.01,0.00,0.01,0.00,0,271,31.79%,06/30/22,433.00,54.66,51.81,52.37,0.00,0,0,49.42%,06/13/22
0.07,0.00,0.01,0.00,0,204,32.31%,06/27/22,434.00,53.00,52.74,53.35,-5.31,2,5,47.64%,07/01/22
0.01,0.00,0.01,0.00,342,755,32.82%,07/01/22,435.00,45.48,53.81,54.37,0.00,0,0,50.88%,06/27/22
0.01,0.00,0.01,0.00,0,582,33.34%,06/30/22,436.00,27.68,54.81,55.35,0.00,0,0,51.35%,06/01/22
0.01,0.00,0.01,0.00,300,697,33.85%,07/01/22,437.00,24.78,55.81,56.35,0.00,0,0,52.07%,06/07/22
0.01,0.00,0.01,-0.03,310,219,34.36%,07/01/22,438.00,48.91,56.81,57.37,0.00,0,0,53.05%,06/10/22
0.01,0.00,0.01,0.00,0,502,34.87%,06/30/22,439.00,63.60,57.74,58.35,0.00,0,1,52.52%,06/21/22
0.01,0.00,0.01,0.00,1,"1,548",35.38%,07/01/22,440.00,66.00,58.81,59.35,0.00,0,0,54.21%,06/22/22
0.05,0.00,0.01,0.00,0,413,35.89%,06/24/22,441.00,0.00,59.81,60.35,0.00,0,0,54.92%,N/A
0.01,0.00,0.01,0.00,1,143,36.39%,07/01/22,442.00,65.00,60.81,61.35,0.00,0,0,55.63%,06/23/22
0.01,0.00,0.01,-0.01,10,192,36.89%,07/01/22,443.00,68.60,61.81,62.35,0.00,0,0,56.33%,06/14/22
0.01,0.00,0.01,0.00,0,902,37.39%,06/30/22,444.00,0.00,62.81,63.37,0.00,0,0,57.31%,N/A
0.01,0.00,0.01,0.00,0,596,37.89%,06/29/22,445.00,57.11,63.81,64.35,0.00,0,0,57.73%,06/24/22
0.02,0.00,0.01,0.00,0,318,0.00%,06/27/22,446.00,65.61,64.81,65.35,-2.92,5,0,58.42%,07/01/22
0.01,0.00,0.01,0.00,0,301,0.00%,06/29/22,447.00,70.24,65.81,66.35,0.00,0,0,59.11%,06/22/22
0.01,0.00,0.01,0.00,0,448,0.00%,06/29/22,448.00,0.00,66.81,67.35,0.00,0,0,59.80%,N/A
0.01,0.00,0.01,0.00,0,208,0.00%,06/28/22,449.00,71.93,67.74,68.37,0.00,0,1,59.72%,06/22/22
0.01,0.00,0.01,0.00,0,"1,810",0.00%,06/28/22,450.00,73.24,68.81,69.35,0.00,0,4,61.16%,06/22/22
0.01,0.00,0.01,0.00,0,792,0.00%,06/30/22,452.00,0.00,70.81,71.35,0.00,0,0,62.52%,N/A
0.01,0.00,0.01,0.00,0,"1,601",0.00%,06/28/22,454.00,0.00,72.81,73.35,0.00,0,0,63.87%,N/A
0.01,0.00,0.01,0.00,0,"1,204",0.00%,06/28/22,455.00,79.39,73.81,74.35,0.00,0,0,64.54%,06/15/22
0.01,0.00,0.01,0.00,0,127,0.00%,06/23/22,460.00,83.38,78.74,79.35,0.00,0,29,66.68%,06/22/22
0.01,0.00,0.01,0.00,0,41,0.00%,06/24/22,465.00,0.00,83.81,84.35,0.00,0,0,71.09%,N/A
0.01,0.00,0.01,0.00,0,457,0.00%,06/24/22,470.00,0.00,88.81,89.35,0.00,0,0,74.28%,N/A
0.01,0.00,0.01,0.00,0,80,0.00%,06/23/22,475.00,107.37,93.74,94.37,0.00,0,1,76.52%,06/17/22
0.01,0.00,0.01,0.00,0,157,0.00%,06/27/22,480.00,102.50,98.81,99.35,0.00,0,0,80.50%,06/22/22
0.01,0.00,0.01,0.00,0,260,0.00%,06/23/22,485.00,0.00,103.81,104.37,0.00,0,0,83.90%,N/A
0.01,0.00,0.01,0.00,0,"1,947",0.00%,06/22/22,490.00,115.83,108.81,109.37,0.00,0,0,86.90%,06/13/22
0.01,0.00,0.01,0.00,0,952,0.00%,06/16/22,495.00,0.00,113.81,114.35,0.00,0,0,89.46%,N/A
0.01,0.00,0.01,0.00,0,522,0.00%,06/16/22,500.00,0.00,118.80,119.32,0.00,0,0,91.55%,N/A
0.01,0.00,0.01,0.00,0,901,0.00%,06/16/22,510.00,0.00,128.80,129.35,0.00,0,0,97.83%,N/A
0.02,0.00,0.01,0.00,0,2,0.00%,06/07/22,520.00,132.43,138.80,139.37,0.00,0,0,103.76%,06/27/22
0.01,0.00,0.01,0.00,0,69,0.00%,06/09/22,530.00,0.00,148.80,149.37,0.00,0,0,109.13%,N/A
0.01,0.00,0.01,0.00,0,1,0.00%,06/06/22,540.00,0.00,158.80,159.37,0.00,0,0,114.36%,N/A
0.00,0.00,0.01,0.00,0,0,0.00%,N/A,550.00,0.00,168.80,169.32,0.00,0,0,118.27%,N/A
0.00,0.00,0.01,0.00,0,0,0.00%,N/A,560.00,0.00,178.80,179.37,0.00,0,0,124.45%,N/A
0.00,0.00,0.01,0.00,0,0,0.00%,N/A,570.00,0.00,188.80,189.37,0.00,0,0,129.31%,N/A
0.00,0.00,0.01,0.00,0,0,0.00%,N/A,580.00,0.00,198.80,199.37,0.00,0,0,134.06%,N/A
0.00,0.00,0.01,0.00,0,0,0.00%,N/A,590.00,0.00,208.80,209.37,0.00,0,0,138.71%,N/A
0.01,0.00,0.01,0.00,0,5,0.00%,06/06/22,600.00,0.00,218.80,219.32,0.00,0,0,141.90%,N/A
"Downloaded from Barchart.com as of 07-05-2022 06:15am CDT"
